Index,Name,URL,Description,Reference,Prerequisites,Level,Parent,Feature Specific
domain-spells-5,Domain Spells,/api/features/domain-spells-5,"[""Each domain has a list of spells--its domain spells--that you gain at the cleric levels noted in the domain description. Once you gain a domain spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day."", ""If you have a domain spell that doesn't appear on the cleric spell list, the spell is nonetheless a cleric spell for you.""]",,[],9,,
draconic-presence,Draconic Presence,/api/features/draconic-presence,"['Beginning at 18th level, you can channel the dread presence of your dragon ancestor, causing those around you to become awestruck or frightened. As an action, you can spend 5 sorcery points to draw on this power and exude an aura of awe or fear (your choice) to a distance of 60 feet. For 1 minute or until you lose your concentration (as if you were casting a concentration spell), each hostile creature that starts its turn in this aura must succeed on a Wisdom saving throw or be charmed (if you chose awe) or frightened (if you chose fear) until the aura ends. A creature that succeeds on this saving throw is immune to your aura for 24 hours.']",,[],18,,
draconic-resilience,Draconic Resilience,/api/features/draconic-resilience,"['As magic flows through your body, it causes physical traits of your dragon ancestors to emerge. At 1st level, your hit point maximum increases by 1 and increases by 1 again whenever you gain a level in this class.', ""Additionally, parts of your skin are covered by a thin sheen of dragon-like scales. When you aren't wearing armor, your AC equals 13 + your Dexterity modifier.""]",,[],1,,
dragon-ancestor,Dragon Ancestor,/api/features/dragon-ancestor,"['At 1st level, you choose one type of dragon as your ancestor. The damage type associated with each dragon is used by features you gain later.', 'You can speak, read, and write Draconic. Additionally, whenever you make a Charisma check when interacting with dragons, your proficiency bonus is doubled if it applies to the check.']",,[],1,,"{'subfeature_options': {'choose': 1, 'type': 'feature', 'from': {'option_set_type': 'options_array', 'options': [{'option_type': 'reference', 'item': {'index': 'dragon-ancestor-black---acid-damage', 'name': 'Dragon Ancestor: Black - Acid Damage', 'url': '/api/features/dragon-ancestor-black---acid-damage'}}, {'option_type': 'reference', 'item': {'index': 'dragon-ancestor-blue---lightning-damage', 'name': 'Dragon Ancestor: Blue - Lightning Damage', 'url': '/api/features/dragon-ancestor-blue---lightning-damage'}}, {'option_type': 'reference', 'item': {'index': 'dragon-ancestor-brass---fire-damage', 'name': 'Dragon Ancestor: Brass - Fire Damage', 'url': '/api/features/dragon-ancestor-brass---fire-damage'}}, {'option_type': 'reference', 'item': {'index': 'dragon-ancestor-bronze---lightning-damage', 'name': 'Dragon Ancestor: Bronze - Lightning Damage', 'url': '/api/features/dragon-ancestor-bronze---lightning-damage'}}, {'option_type': 'reference', 'item': {'index': 'dragon-ancestor-copper---acid-damage', 'name': 'Dragon Ancestor: Copper - Acid Damage', 'url': '/api/features/dragon-ancestor-copper---acid-damage'}}, {'option_type': 'reference', 'item': {'index': 'dragon-ancestor-gold---fire-damage', 'name': 'Dragon Ancestor: Gold - Fire Damage', 'url': '/api/features/dragon-ancestor-gold---fire-damage'}}, {'option_type': 'reference', 'item': {'index': 'dragon-ancestor-green---poison-damage', 'name': 'Dragon Ancestor: Green - Poison Damage', 'url': '/api/features/dragon-ancestor-green---poison-damage'}}, {'option_type': 'reference', 'item': {'index': 'dragon-ancestor-red---fire-damage', 'name': 'Dragon Ancestor: Red - Fire Damage', 'url': '/api/features/dragon-ancestor-red---fire-damage'}}, {'option_type': 'reference', 'item': {'index': 'dragon-ancestor-silver---cold-damage', 'name': 'Dragon Ancestor: Silver - Cold Damage', 'url': '/api/features/dragon-ancestor-silver---cold-damage'}}, {'option_type': 'reference', 'item': {'index': 'dragon-ancestor-white---cold-damage', 'name': 'Dragon Ancestor: White - Cold Damage', 'url': '/api/features/dragon-ancestor-white---cold-damage'}}]}}, 'invocations': []}"
dragon-ancestor-black---acid-damage,Dragon Ancestor: Black - Acid Damage,/api/features/dragon-ancestor-black---acid-damage,"['At 1st level, you choose one type of dragon as your ancestor. The damage type associated with each dragon is used by features you gain later.', 'You can speak, read, and write Draconic. Additionally, whenever you make a Charisma check when interacting with dragons, your proficiency bonus is doubled if it applies to the check.']",,[],1,"{'index': 'dragon-ancestor', 'name': 'Dragon Ancestor', 'url': '/api/features/dragon-ancestor'}",
dragon-ancestor-blue---lightning-damage,Dragon Ancestor: Blue - Lightning Damage,/api/features/dragon-ancestor-blue---lightning-damage,"['At 1st level, you choose one type of dragon as your ancestor. The damage type associated with each dragon is used by features you gain later.', 'You can speak, read, and write Draconic. Additionally, whenever you make a Charisma check when interacting with dragons, your proficiency bonus is doubled if it applies to the check.']",,[],1,"{'index': 'dragon-ancestor', 'name': 'Dragon Ancestor', 'url': '/api/features/dragon-ancestor'}",
dragon-ancestor-brass---fire-damage,Dragon Ancestor: Brass - Fire Damage,/api/features/dragon-ancestor-brass---fire-damage,"['At 1st level, you choose one type of dragon as your ancestor. The damage type associated with each dragon is used by features you gain later.', 'You can speak, read, and write Draconic. Additionally, whenever you make a Charisma check when interacting with dragons, your proficiency bonus is doubled if it applies to the check.']",,[],1,"{'index': 'dragon-ancestor', 'name': 'Dragon Ancestor', 'url': '/api/features/dragon-ancestor'}",
dragon-ancestor-bronze---lightning-damage,Dragon Ancestor: Bronze - Lightning Damage,/api/features/dragon-ancestor-bronze---lightning-damage,"['At 1st level, you choose one type of dragon as your ancestor. The damage type associated with each dragon is used by features you gain later.', 'You can speak, read, and write Draconic. Additionally, whenever you make a Charisma check when interacting with dragons, your proficiency bonus is doubled if it applies to the check.']",,[],1,"{'index': 'dragon-ancestor', 'name': 'Dragon Ancestor', 'url': '/api/features/dragon-ancestor'}",
dragon-ancestor-copper---acid-damage,Dragon Ancestor: Copper - Acid Damage,/api/features/dragon-ancestor-copper---acid-damage,"['At 1st level, you choose one type of dragon as your ancestor. The damage type associated with each dragon is used by features you gain later.', 'You can speak, read, and write Draconic. Additionally, whenever you make a Charisma check when interacting with dragons, your proficiency bonus is doubled if it applies to the check.']",,[],1,"{'index': 'dragon-ancestor', 'name': 'Dragon Ancestor', 'url': '/api/features/dragon-ancestor'}",
dragon-ancestor-gold---fire-damage,Dragon Ancestor: Gold - Fire Damage,/api/features/dragon-ancestor-gold---fire-damage,"['At 1st level, you choose one type of dragon as your ancestor. The damage type associated with each dragon is used by features you gain later.', 'You can speak, read, and write Draconic. Additionally, whenever you make a Charisma check when interacting with dragons, your proficiency bonus is doubled if it applies to the check.']",,[],1,"{'index': 'dragon-ancestor', 'name': 'Dragon Ancestor', 'url': '/api/features/dragon-ancestor'}",
dragon-ancestor-green---poison-damage,Dragon Ancestor: Green - Poison Damage,/api/features/dragon-ancestor-green---poison-damage,"['At 1st level, you choose one type of dragon as your ancestor. The damage type associated with each dragon is used by features you gain later.', 'You can speak, read, and write Draconic. Additionally, whenever you make a Charisma check when interacting with dragons, your proficiency bonus is doubled if it applies to the check.']",,[],1,"{'index': 'dragon-ancestor', 'name': 'Dragon Ancestor', 'url': '/api/features/dragon-ancestor'}",
dragon-ancestor-red---fire-damage,Dragon Ancestor: Red - Fire Damage,/api/features/dragon-ancestor-red---fire-damage,"['At 1st level, you choose one type of dragon as your ancestor. The damage type associated with each dragon is used by features you gain later.', 'You can speak, read, and write Draconic. Additionally, whenever you make a Charisma check when interacting with dragons, your proficiency bonus is doubled if it applies to the check.']",,[],1,"{'index': 'dragon-ancestor', 'name': 'Dragon Ancestor', 'url': '/api/features/dragon-ancestor'}",
dragon-ancestor-silver---cold-damage,Dragon Ancestor: Silver - Cold Damage,/api/features/dragon-ancestor-silver---cold-damage,"['At 1st level, you choose one type of dragon as your ancestor. The damage type associated with each dragon is used by features you gain later.', 'You can speak, read, and write Draconic. Additionally, whenever you make a Charisma check when interacting with dragons, your proficiency bonus is doubled if it applies to the check.']",,[],1,"{'index': 'dragon-ancestor', 'name': 'Dragon Ancestor', 'url': '/api/features/dragon-ancestor'}",
dragon-ancestor-white---cold-damage,Dragon Ancestor: White - Cold Damage,/api/features/dragon-ancestor-white---cold-damage,"['At 1st level, you choose one type of dragon as your ancestor. The damage type associated with each dragon is used by features you gain later.', 'You can speak, read, and write Draconic. Additionally, whenever you make a Charisma check when interacting with dragons, your proficiency bonus is doubled if it applies to the check.']",,[],1,"{'index': 'dragon-ancestor', 'name': 'Dragon Ancestor', 'url': '/api/features/dragon-ancestor'}",
dragon-wings,Dragon Wings,/api/features/dragon-wings,"['At 14th level, you gain the ability to sprout a pair of dragon wings from your back, gaining a flying speed equal to your current speed. You can create these wings as a bonus action on your turn. They last until you dismiss them as a bonus action on your turn.', ""You can't manifest your wings while wearing armor unless the armor is made to accommodate them, and clothing not made to accommodate your wings might be destroyed when you manifest them.""]",,[],14,,
druid-ability-score-improvement-1,Ability Score Improvement,/api/features/druid-ability-score-improvement-1,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],4,,
druid-ability-score-improvement-2,Ability Score Improvement,/api/features/druid-ability-score-improvement-2,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],8,,
druid-ability-score-improvement-3,Ability Score Improvement,/api/features/druid-ability-score-improvement-3,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],12,,
druid-ability-score-improvement-4,Ability Score Improvement,/api/features/druid-ability-score-improvement-4,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],16,,
druid-ability-score-improvement-5,Ability Score Improvement,/api/features/druid-ability-score-improvement-5,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],19,,
druid-circle,Druid Circle,/api/features/druid-circle,"['At 2nd level, you choose to identify with a circle of druids, such as the Circle of the Land. Your choice grants you features at 2nd level and again at 6th, 10th, and 14th level.']",,[],2,,
druid-lands-stride,Land's Stride,/api/features/druid-lands-stride,"['Starting at 6th level, moving through nonmagical difficult terrain costs you no extra movement. You can also pass through nonmagical plants without being slowed by them and without taking damage from them if they have thorns, spines, or a similar hazard.', 'In addition, you have advantage on saving throws against plants that are magically created or manipulated to impede movement, such those created by the entangle spell.']",,[],6,,
druid-timeless-body,Timeless Body,/api/features/druid-timeless-body,"['Starting at 18th level, the primal magic that you wield causes you to age more slowly. For every 10 years that pass, your body ages only 1 year.']",,[],18,,
druidic,Druidic,/api/features/druidic,"[""You know Druidic, the secret language of druids. You can speak the language and use it to leave hidden messages. You and others who know this language automatically spot such a message. Others spot the message's presence with a successful DC 15 Wisdom (Perception) check but can't decipher it without magic.""]",,[],1,,
eldritch-invocation-agonizing-blast,Eldritch Invocation: Agonizing Blast,/api/features/eldritch-invocation-agonizing-blast,"['When you cast eldritch blast, add your Charisma modifier to the damage it deals on a hit.']",,"[{'type': 'spell', 'spell': '/api/spells/eldritch-blast'}]",2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-armor-of-shadows,Eldritch Invocation: Armor of Shadows,/api/features/eldritch-invocation-armor-of-shadows,"['You can cast mage armor on yourself at will, without expending a spell slot or material components.']",,[],2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-ascendant-step,Eldritch Invocation: Ascendant Step,/api/features/eldritch-invocation-ascendant-step,"['You can cast levitate on yourself at will, without expending a spell slot or material components.']",,"[{'type': 'level', 'level': 9}]",9,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-beast-speech,Eldritch Invocation: Beast Speech,/api/features/eldritch-invocation-beast-speech,"['You can cast speak with animals at will, without expending a spell slot.']",,[],2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-beguiling-influence,Eldritch Invocation: Beguiling Influence,/api/features/eldritch-invocation-beguiling-influence,['You gain proficiency in the Deception and Persuasion skills.'],,[],2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-bewitching-whispers,Eldritch Invocation: Bewitching Whispers,/api/features/eldritch-invocation-bewitching-whispers,"[""You can cast compulsion once using a warlock spell slot. You can't do so again until you finish a long rest.""]",,"[{'type': 'level', 'level': 7}]",7,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-book-of-ancient-secrets,Eldritch Invocation: Book of Ancient Secrets,/api/features/eldritch-invocation-book-of-ancient-secrets,"[""You can now inscribe magical rituals in your Book of Shadows. Choose two 1st-level spells that have the ritual tag from any class's spell list (the two needn't be from the same list). The spells appear in the book and don't count against the number of spells you know. With your Book of Shadows in hand, you can cast the chosen spells as rituals. You can't cast the spells except as rituals, unless you've learned them by some other means. You can also cast a warlock spell you know as a ritual if it has the ritual tag."", ""On your adventures, you can add other ritual spells to your Book of Shadows. When you find such a spell, you can add it to the book if the spell's level is equal to or less than half your warlock level (rounded up) and if you can spare the time to transcribe the spell. For each level of the spell, the transcription process takes 2 hours and costs 50 gp for the rare inks needed to inscribe it.""]",,"[{'type': 'feature', 'feature': '/api/features/pact-of-the-tome'}]",2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-chains-of-carceri,Eldritch Invocation: Chains of Carceri,/api/features/eldritch-invocation-chains-of-carceri,"['You can cast hold monster at will--targeting a celestial, fiend, or elemental--without expending a spell slot or material components. You must finish a long rest before you can use this invocation on the same creature again.']",,"[{'type': 'level', 'level': 15}, {'type': 'feature', 'feature': '/api/features/pact-of-the-chain'}]",15,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-devils-sight,Eldritch Invocation: Devil's Sight,/api/features/eldritch-invocation-devils-sight,"['You can see normally in darkness, both magical and nonmagical, to a distance of 120 feet.']",,[],2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-dreadful-word,Eldritch Invocation: Dreadful Word,/api/features/eldritch-invocation-dreadful-word,"[""You can cast confusion once using a warlock spell slot. You can't do so again until you finish a long rest.""]",,"[{'type': 'level', 'level': 7}]",7,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-eldritch-sight,Eldritch Invocation: Eldritch Sight,/api/features/eldritch-invocation-eldritch-sight,"['You can cast detect magic at will, without expending a spell slot.']",,[],2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-eldritch-spear,Eldritch Invocation: Eldritch Spear,/api/features/eldritch-invocation-eldritch-spear,"['When you cast eldritch blast, its range is 300 feet.']",,"[{'type': 'spell', 'spell': '/api/spells/eldritch-blast'}]",2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-eyes-of-the-rune-keeper,Eldritch Invocation: Eyes of the Rune Keeper,/api/features/eldritch-invocation-eyes-of-the-rune-keeper,['You can read all writing.'],,[],2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-fiendish-vigor,Eldritch Invocation: Fiendish Vigor,/api/features/eldritch-invocation-fiendish-vigor,"['You can cast false life on yourself at will as a 1st-level spell, without expending a spell slot or material components.']",,[],2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-gaze-of-two-minds,Eldritch Invocation: Gaze of Two Minds,/api/features/eldritch-invocation-gaze-of-two-minds,"[""You can use your action to touch a willing humanoid and perceive through its senses until the end of your next turn. As long as the creature is on the same plane of existence as you, you can use your action on subsequent turns to maintain this connection, extending the duration until the end of your next turn. While perceiving through the other creature's senses, you benefit from any special senses possessed by that creature, and you are blinded and deafened to your own surroundings.""]",,[],2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-lifedrinker,Eldritch Invocation: Lifedrinker,/api/features/eldritch-invocation-lifedrinker,"['When you hit a creature with your pact weapon, the creature takes extra necrotic damage equal to your Charisma modifier (minimum 1).']",,"[{'type': 'level', 'level': 12}, {'type': 'feature', 'feature': '/api/features/pact-of-the-blade'}]",12,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-mask-of-many-faces,Eldritch Invocation: Mask of Many Faces,/api/features/eldritch-invocation-mask-of-many-faces,"['You can cast disguise self at will, without expending a spell slot.']",,[],2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-master-of-myriad-forms,Eldritch Invocation: Master of Myriad Forms,/api/features/eldritch-invocation-master-of-myriad-forms,"['You can cast alter self at will, without expending a spell slot.']",,"[{'type': 'level', 'level': 15}]",15,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-minions-of-chaos,Eldritch Invocation: Minions of Chaos,/api/features/eldritch-invocation-minions-of-chaos,"[""You can cast conjure elemental once using a warlock spell slot. You can't do so again until you finish a long rest.""]",,"[{'type': 'level', 'level': 9}]",9,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-mire-the-mind,Eldritch Invocation: Mire the Mind,/api/features/eldritch-invocation-mire-the-mind,"[""You can cast slow once using a warlock spell slot. You can't do so again until you finish a long rest.""]",,"[{'type': 'level', 'level': 5}]",5,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-misty-visions,Eldritch Invocation: Misty Visions,/api/features/eldritch-invocation-misty-visions,"['You can cast silent image at will, without expending a spell slot or material components.']",,[],2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-one-with-shadows,Eldritch Invocation: One with Shadows,/api/features/eldritch-invocation-one-with-shadows,"['When you are in an area of dim light or darkness, you can use your action to become invisible until you move or take an action or a reaction.']",,"[{'type': 'level', 'level': 5}]",5,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-otherworldly-leap,Eldritch Invocation: Otherworldly Leap,/api/features/eldritch-invocation-otherworldly-leap,"['You can cast jump on yourself at will, without expending a spell slot or material components.']",,"[{'type': 'level', 'level': 9}]",9,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-repelling-blast,Eldritch Invocation: Repelling Blast,/api/features/eldritch-invocation-repelling-blast,"['When you hit a creature with eldritch blast, you can push the creature up to 10 feet away from you in a straight line.']",,"[{'type': 'spell', 'spell': '/api/spells/eldritch-blast'}]",2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-sculptor-of-flesh,Eldritch Invocation: Sculptor of Flesh,/api/features/eldritch-invocation-sculptor-of-flesh,"[""You can cast polymorph once using a warlock spell slot. You can't do so again until you finish a long rest.""]",,"[{'type': 'level', 'level': 7}]",7,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-sign-of-ill-omen,Eldritch Invocation: Sign of Ill Omen,/api/features/eldritch-invocation-sign-of-ill-omen,"[""You can cast bestow curse once using a warlock spell slot. You can't do so again until you finish a long rest.""]",,"[{'type': 'level', 'level': 5}]",5,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-thief-of-five-fates,Eldritch Invocation: Thief of Five Fates,/api/features/eldritch-invocation-thief-of-five-fates,"[""You can cast bane once using a warlock spell slot. You can't do so again until you finish a long rest.""]",,[],2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-thirsting-blade,Eldritch Invocation: Thirsting Blade,/api/features/eldritch-invocation-thirsting-blade,"['You can attack with your pact weapon twice, instead of once, whenever you take the Attack action on your turn.']",,"[{'type': 'level', 'level': 5}, {'type': 'feature', 'feature': '/api/features/pact-of-the-blade'}]",5,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-visions-of-distant-realms,Eldritch Invocation: Visions of Distant Realms,/api/features/eldritch-invocation-visions-of-distant-realms,"['You can cast arcane eye at will, without expending a spell slot.']",,"[{'type': 'level', 'level': 15}]",15,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-voice-of-the-chain-master,Eldritch Invocation: Voice of the Chain Master,/api/features/eldritch-invocation-voice-of-the-chain-master,"[""You can communicate telepathically with your familiar and perceive through your familiar's senses as long as you are on the same plane of existence."", ""Additionally, while perceiving through your familiar's senses, you can also speak through your familiar in your own voice, even if your familiar is normally incapable of speech.""]",,"[{'type': 'feature', 'feature': '/api/features/pact-of-the-chain'}]",2,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-whispers-of-the-grave,Eldritch Invocation: Whispers of the Grave,/api/features/eldritch-invocation-whispers-of-the-grave,"['You can cast speak with dead at will, without expending a spell slot.']",,"[{'type': 'level', 'level': 9}]",9,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
eldritch-invocation-witch-sight,Eldritch Invocation: Witch Sight,/api/features/eldritch-invocation-witch-sight,['You can see the true form of any shapechanger or creature concealed by illusion or transmutation magic while the creature is within 30 feet of you and within line of sight.'],,"[{'type': 'level', 'level': 15}]",15,"{'index': 'eldritch-invocations', 'name': 'Eldritch Invocations', 'url': '/api/features/eldritch-invocations'}",
